timestamp,idk,idk2,rated_real_power,idk3,max_watts_hour,idk4,idk5,real_available_Wh,idk6,consumed_watts,op_state
Mon Sep 20 03:41:14 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:42:15 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:43:16 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:44:16 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:45:17 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:46:17 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:47:18 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:48:19 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:49:19 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:50:20 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:51:20 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:52:21 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:53:22 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:54:22 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:55:23 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:56:23 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:57:24 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:58:25 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 03:59:25 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:00:26 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:01:26 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:02:27 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:03:28 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:04:28 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:05:29 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:06:29 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:07:30 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:08:31 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:09:31 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:10:32 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:11:32 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:12:33 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:13:33 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:14:34 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:15:34 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:16:35 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:17:36 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:18:36 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:19:37 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:20:37 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:21:38 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:22:39 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
Mon Sep 20 04:23:39 2021, 0, 5149, 0, 6, 0, 0, 7, 0, 0, 0, 0
